,Fuel,bulk_carrier_capesize_ice,bulk_carrier_handy_ice,bulk_carrier_ice,bulk_carrier_panamax_ice,container_15000_teu_ice,container_3500_teu_ice,container_8000_teu_ice,container_ice,fleet,gas_carrier_100k_cbm_ice,gas_carrier_ice,tanker_100k_dwt_ice,tanker_300k_dwt_ice,tanker_35k_dwt_ice,tanker_ice
0,lsfo,5.188719906673571,2.890641170268971,3.453180586313742,3.1058634100576645,9.433528569713609,4.388785135553874,7.907624931979113,5.728524989904147,5.2586389626618635,3.9409342713690543,3.9409342713690543,6.856906882493333,9.167067506606529,7.988141694517784,7.690915779771872
1,liquid_hydrogen,5.410060703891716,3.0034221408546675,3.5970036433905896,3.2372418248434105,9.83378200814779,4.567579738254391,8.235702925316758,5.964885838554519,5.436728632295584,4.101171726088962,4.101171726088962,7.0476592438025625,9.475126683833443,8.148120423987542,7.879085829904561
2,ammonia,5.410060703891718,3.003422140854668,3.5970036433905896,3.2372418248434105,9.83378200814779,4.567579738254392,8.235702925316758,5.964885838554519,5.436728632295584,4.101171726088962,4.101171726088962,7.0476592438025625,9.475126683833444,8.148120423987542,7.879085829904561
3,methanol,5.102326363956126,2.8613359008496646,3.3998802963327157,3.0523045722452324,9.27167329749882,4.337111994731058,7.817677696944583,5.656859835269433,5.215286698205935,3.903682425779826,3.903682425779826,6.814836843694326,9.049804420117752,8.019105904190045,7.67765321409653
4,FTdiesel,5.215540672521475,2.890641170268971,3.4584147017358124,3.105863410057663,9.4784709822421,4.388785135553874,7.907624931979113,5.732928791368339,4.494366086443526,3.9409342713690543,3.9409342713690543,5.509618924022585,7.376862970456929,4.416023149749124,5.160998324629321
