,Fuel,bulk_carrier_capesize_ice,bulk_carrier_handy_ice,bulk_carrier_ice,bulk_carrier_panamax_ice,container_15000_teu_ice,container_3500_teu_ice,container_8000_teu_ice,container_ice,fleet,gas_carrier_100k_cbm_ice,gas_carrier_ice,tanker_100k_dwt_ice,tanker_300k_dwt_ice,tanker_35k_dwt_ice,tanker_ice
0,lsfo,5.1967868270813286e-05,0.0001372443963533,6.987061582324042e-05,6.816457503164205e-05,2.6139248057581368e-05,5.416419829860779e-05,3.977414326301091e-05,4.1890623821118914e-05,7.320056962504328e-05,0.0001566745135214,0.0001566745135214,8.924710288084395e-05,3.593368432239511e-05,0.0002880983983022,0.0001072397375117
1,liquid_hydrogen,5.4184717435863635e-05,0.00014259911017505675,7.278068823803634e-05,7.104794517058673e-05,2.724830537752422e-05,5.637079215460192e-05,4.1424325362022875e-05,4.361904490932277e-05,7.567958850313817e-05,0.0001630448621589498,0.0001630448621589498,9.172986893064897e-05,3.714123528884223e-05,0.00029386815270631995,0.00010986352216389528
2,ammonia,5.418471743586365e-05,0.00014259911017505675,7.278068823803634e-05,7.104794517058673e-05,2.7248305377524223e-05,5.6370792154601935e-05,4.1424325362022875e-05,4.361904490932277e-05,7.567958850313817e-05,0.0001630448621589498,0.0001630448621589498,9.172986893064897e-05,3.714123528884224e-05,0.00029386815270631995,0.00010986352216389528
3,methanol,5.1102589680304965e-05,0.0001358530150733703,6.879215381077233e-05,6.6989115928434e-05,2.5690765278461728e-05,5.352647415404547e-05,3.932172243587898e-05,4.136656255941961e-05,7.259710350477113e-05,0.00015519354114695082,0.00015519354114695082,8.869953396307402e-05,3.54740286332098e-05,0.0002892151460455838,0.00010705480842105397
4,FTdiesel,5.223649291264711e-05,0.0001372443963533,6.997652133808068e-05,6.816457503164202e-05,2.626377843459851e-05,5.416419829860779e-05,3.977414326301091e-05,4.1922827222665465e-05,6.25618453685612e-05,0.0001566745135214,0.0001566745135214,7.171127381092397e-05,2.8916320849489615e-05,0.0001592672294711,7.196335540269918e-05
