,Fuel,bulk_carrier_capesize_ice,bulk_carrier_handy_ice,bulk_carrier_ice,bulk_carrier_panamax_ice,container_15000_teu_ice,container_3500_teu_ice,container_8000_teu_ice,container_ice,fleet,gas_carrier_100k_cbm_ice,gas_carrier_ice,tanker_100k_dwt_ice,tanker_300k_dwt_ice,tanker_35k_dwt_ice,tanker_ice
0,lsfo,5.1967868270813286e-05,0.0001601184624122,6.367638756410543e-05,5.5268574349980045e-05,1.924240745758852e-05,3.987297457752012e-05,2.9279735563065486e-05,3.083778272591669e-05,5.7739125861641697e-05,6.705669178719272e-05,6.705669178719272e-05,7.586003744871737e-05,3.054363167403584e-05,0.0002448836385569,9.115377688500736e-05
1,liquid_hydrogen,5.4184717435863635e-05,0.0001663656285375829,6.632847380580878e-05,5.7606442030205465e-05,2.0058840003664452e-05,4.14973586446102e-05,3.049451711525314e-05,3.211015990999796e-05,5.9694525713704294e-05,6.978320100405019e-05,6.978320100405019e-05,7.797038859105163e-05,3.157004999551589e-05,0.00024978792980042194,9.338399383931972e-05
2,ammonia,5.418471743586365e-05,0.0001663656285375829,6.632847380580878e-05,5.7606442030205465e-05,2.0058840003664452e-05,4.1497358644610205e-05,3.049451711525314e-05,3.211015990999796e-05,5.9694525713704294e-05,6.978320100405019e-05,6.978320100405019e-05,7.797038859105163e-05,3.15700499955159e-05,0.00024978792980042194,9.338399383931972e-05
3,methanol,5.1102589680304965e-05,0.00015849518425221538,6.269353426776679e-05,5.431549940143298e-05,1.8912256859739595e-05,3.940351394850057e-05,2.894668597117231e-05,3.0451995028116746e-05,5.7263124015616316e-05,6.642283561092283e-05,6.642283561092283e-05,7.539460386861293e-05,3.0152924338228333e-05,0.0002458328741387412,9.099658715791756e-05
4,FTdiesel,5.223649291264711e-05,0.0001601184624122,6.377290425468685e-05,5.526857434998002e-05,1.933408049462969e-05,3.987297457752012e-05,2.9279735563065486e-05,3.0861489259965185e-05,4.9347515769004315e-05,6.705669178719272e-05,6.705669178719272e-05,6.0954582739285374e-05,2.4578872722066175e-05,0.0001353771450504,6.116885209229429e-05
