,Fuel,bulk_carrier_capesize_ice,bulk_carrier_handy_ice,bulk_carrier_ice,bulk_carrier_panamax_ice,container_15000_teu_ice,container_3500_teu_ice,container_8000_teu_ice,container_ice,fleet,gas_carrier_100k_cbm_ice,gas_carrier_ice,tanker_100k_dwt_ice,tanker_300k_dwt_ice,tanker_35k_dwt_ice,tanker_ice
0,lsfo,7.41985509487645e-05,0.0002226549829068,9.288052867322171e-05,8.245487504294427e-05,4.8311486485807224e-05,0.0001001081947098,7.351198399061029e-05,7.74237385160375e-05,9.915090448836565e-05,0.0001566745135214,0.0001566745135214,9.370639682059712e-05,3.772913600160311e-05,0.0003024934363498,0.0001125980460299
1,liquid_hydrogen,7.736371821830775e-05,0.00023134206774326615,9.674895120219133e-05,8.594272667847312e-05,5.0361285608045726e-05,0.00010418649983243963,7.656190914530175e-05,8.061826774888306e-05,0.0001025087603802787,0.0001630448621589498,0.0001630448621589498,9.631321601321957e-05,3.899702309698665e-05,0.0003085514805696855,0.00011535292991800049
2,ammonia,7.736371821830778e-05,0.00023134206774326615,9.674895120219133e-05,8.594272667847312e-05,5.0361285608045726e-05,0.00010418649983243966,7.656190914530175e-05,8.061826774888306e-05,0.0001025087603802787,0.0001630448621589498,0.0001630448621589498,9.631321601321957e-05,3.899702309698666e-05,0.0003085514805696855,0.00011535292991800049
3,methanol,7.296312568082513e-05,0.0002203977106003174,9.144690567316935e-05,8.103298789073774e-05,4.748258468745302e-05,9.892953029978447e-05,7.26758037520765e-05,7.645514988232668e-05,9.833350358616559e-05,0.00015519354114695082,0.00015519354114695082,9.313146823872843e-05,3.724651329429629e-05,0.00030366598317547864,0.0001124038768277913
4,FTdiesel,7.458208715751052e-05,0.0002226549829068,9.302131117659423e-05,8.245487504294423e-05,4.854164795078445e-05,0.0001001081947098,7.351198399061029e-05,7.748325798634461e-05,8.474064596120204e-05,0.0001566745135214,0.0001566745135214,7.529437778174957e-05,3.0361145052872972e-05,0.0001672251280275,7.555905480663398e-05
