PORT_NAME,PORT_LAT,PORT_LON
"LAS VEGAS, NV",36.08,-115.15
"SAN FRANCISCO INTERNATIONAL AIRPORT, CA",37.62,-122.38
"FRESNO, CA",36.78,-119.72
"EUREKA, CA",40.79,-124.175
"SAN FRANCISCO, CA",37.77,-122.38
"OAKLAND, CA",37.8,-122.38
"RENO, NV",39.5,-119.77
"SAN JOSE INTERNATIONAL AIRPORT, CA",37.36,-121.93
"SACRAMENTO INTERNATIONAL AIRPORT, CA",38.69,-121.59
"PORTLAND, OR",45.63,-122.75
"LONGVIEW, WA",46.14,-122.97
"VANCOUVER, WA",45.62,-122.63
"PORTLAND INTERNATIONAL AIRPORT, WA",45.595,-122.6
"SEATTLE, WA",47.61,-122.35
"TACOMA, WA",47.27,-122.42
"ABERDEEN-HOQUIAM, WA",46.98,-123.83
"BLAINE, WA",48.99,-122.76
"BELLINGHAM, WA",48.795,-122.536
"EVERETT, WA",47.95,-122.24
"PORT TOWNSEND, WA",48.11,-122.76
"SUMAS, WA",49,-122.27
"ANACORTES, WA",49.5,-122.68
"DANVILLE, WA",49,-118.5
"FERRY, WA",49,-118.23
"FRIDAY HARBOR, WA",48.54,-123.02
"LAURIER, WA",49,-118.22
"POINT ROBERTS, WA",48.98,-123.03
"KENMORE AIR HARBOR, WA",47.76,-122.26
"BOUNDARY, WA",49,-117.6
"OROVILLE, WA",48.94,-119.44
"FRONTIER, WA",49,-117.83
"SPOKANE, WA",47.62,-117.53
"LYNDEN, WA",48.96,-122.43
"METALINE FALLS, WA",48.86,-117.365
"SEATTLE-TACOMA INTERNATIONAL AIRPORT, WA",47.45,-122.31
"KETCHIKAN, AK",55.35,-131.67
"SKAGWAY, AK",59.45,-135.32
"ALCAN, AK",62.62,-141.02
"DALTON CACHE, AK",59.45,-136.36
"SITKA, AK",57.06,-135.34
"FAIRBANKS, AK",64.815,-147.86
"ANCHORAGE, AK",61.17,-149.98
"HONOLULU, HI",21.3,-157.87
"HONOLULU INTERNATIONAL AIRPORT, HI",21.31,-157.92
"RAYMOND, MT",48.88,-104.58
"EASTPORT, ID",49,-116.18
"SALT LAKE CITY, UT",40.8,-111.98
"GREAT FALLS, MT",47.5,-111.29
"DENVER, CO",39.84,-104.67
"PORTHILL, ID",49,-116.49
"SWEETGRASS, MT",49,-111.96
"PIEGAN, MT",48.43,-112.67
"ROOSVILLE, MT",49,-115.05
"WHITLASH, MT",48.9,-111.25
"DEL BONITA, MT",49,-112.79
"WILDHORSE, MT",47.9,-114.22
"PEMBINA, ND",48.97,-97.24
"PORTAL, ND",49,-102.55
"NECHE, ND",48.98,-97.55
"ST. JOHN, ND",48.95,-99.71
"NORTHGATE, ND",49,-102.26
"WALHALLA, ND",48.92,-97.91
"SARLES, ND",48.95,-99
"AMBROSE, ND",48.95,-103.48
"FARGO, ND",46.91,-96.82
"ANTLER, ND",48.97,-101.28
"SHERWOOD, ND",48.96,-101.63
"HANSBORO, ND",48.95,-99.38
"MAIDA, ND",49,-98.37
"FORTUNA, ND",48.91,-103.78
"WESTHOPE, ND",48.91,-101.02
"NOONAN, ND",48.89,-103
"DUNSEITH, ND",48.81,-100.06
"BAUDETTE, MN",48.71,-94.57
"LANCASTER, MN",48.86,-96.8
"MINNEAPOLIS-ST. PAUL, MN",44.88,-93.22
"SIOUX FALLS, SD",43.58,-96.74
"DES MOINES, IA",41.53,-93.66
