,Fuel,bulk_carrier_capesize_ice,bulk_carrier_handy_ice,bulk_carrier_ice,bulk_carrier_panamax_ice,container_15000_teu_ice,container_3500_teu_ice,container_8000_teu_ice,container_ice,fleet,gas_carrier_100k_cbm_ice,gas_carrier_ice,tanker_100k_dwt_ice,tanker_300k_dwt_ice,tanker_35k_dwt_ice,tanker_ice
0,lsfo,5.386068850520596e-05,0.0001637207833195,6.684325541686548e-05,5.877192546909346e-05,1.924240745758852e-05,3.987297457752012e-05,2.9279735563065486e-05,3.083778272591669e-05,5.880338127763146e-05,6.705669178719272e-05,6.705669178719272e-05,7.783222798422069e-05,3.1337697473807634e-05,0.0002512500629683,9.352357028472091e-05
1,liquid_hydrogen,5.615828173569184e-05,0.00017010849724179278,6.962723994901665e-05,6.125798534443491e-05,2.0058840003664452e-05,4.14973586446102e-05,3.049451711525314e-05,3.211015990999796e-05,6.0794823325552206e-05,6.978320100405019e-05,6.978320100405019e-05,7.999744351483467e-05,3.2390800365545886e-05,0.0002562818547653728,9.58117678691165e-05
2,ammonia,5.615828173569185e-05,0.00017010849724179278,6.962723994901665e-05,6.125798534443491e-05,2.0058840003664452e-05,4.1497358644610205e-05,3.049451711525314e-05,3.211015990999796e-05,6.0794823325552206e-05,6.978320100405019e-05,6.978320100405019e-05,7.999744351483467e-05,3.239080036554589e-05,0.0002562818547653728,9.58117678691165e-05
3,methanol,5.296389396303369e-05,0.0001620609848933726,6.581152110470257e-05,5.775843723457221e-05,1.8912256859739595e-05,3.940351394850057e-05,2.894668597117231e-05,3.0451995028116746e-05,5.831860570088027e-05,6.642283561092283e-05,6.642283561092283e-05,7.735469417674413e-05,3.0936832625088894e-05,0.000252223976542632,9.336229397789204e-05
4,FTdiesel,5.4139097234292894e-05,0.0001637207833195,6.694457224791263e-05,5.877192546909343e-05,1.933408049462969e-05,3.987297457752012e-05,2.9279735563065486e-05,3.0861489259965185e-05,5.0257095887149e-05,6.705669178719272e-05,6.705669178719272e-05,6.25392649411e-05,2.5217868190379376e-05,0.0001388966466638,6.275910481587855e-05
